name,carbs,fats,proteins
ABALONE.MIXED SPECIES.RAW,6.01,0.76,17.1
ABALONE.MXD SP.CKD.FRIED,11.05,6.78,19.63
ABIYUCH.RAW,17.6,0.1,1.5
ACEROLA JUICE.RAW,4.8,0.3,0.4
ACEROLA.(WEST INDIAN CHERRY).RAW,7.69,0.3,0.4
ACORN FLOUR.FULL FAT,54.65,30.17,7.49
ACORN STEW (APACHE),9.22,3.47,6.81
ACORNS.DRIED,53.66,31.41,8.1
ACORNS.RAW,40.75,23.86,6.15
AGAVE.CKD (SOUTHWEST),32,0.29,0.99
AGAVE.DRIED (SOUTHWEST),81.98,0.69,1.71
AGAVE.RAW (SOUTHWEST),16.23,0.15,0.52
AGUTUK.FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE,10.5,43.5,9
AGUTUK.FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE),13.4,31.8,3.4
AGUTUK.MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE),0.9,18.6,21.7
ALCOHOLIC BEV DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 100PROOF,0,0,0
ALCOHOLIC BEV.BEER.LT,1.64,0,0.24
ALCOHOLIC BEV.BEER.LT.BUD LT,1.3,0,0.25
ALCOHOLIC BEV.BEER.LT.BUDWEISER SEL,0.87,0,0.2
ALCOHOLIC BEV.BEER.LT.HIGHER ALCOHOL,0.77,0,0.25
ALCOHOLIC BEV.BEER.LT.LO CARB,0.73,0,0.17
ALCOHOLIC BEV.BEER.REG.ALL,3.55,0,0.46
ALCOHOLIC BEV.BEER.REG.BUDWEISER,2.97,0,0.36
ALCOHOLIC BEV.CREME DE MENTHE.72 PROOF,41.6,0.3,0
ALCOHOLIC BEV.DAIQUIRI.CND,15.7,0,0
ALCOHOLIC BEV.DAIQUIRI.PREPARED-FROM-RECIPE,6.94,0.06,0.06
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 80 PROOF,0,0,0
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 86 PROOF,0.1,0,0
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 90 PROOF,0,0,0
ALCOHOLIC BEV.DISTILLED.ALL (GIN.RUM.VODKA.WHISKEY) 94 PROOF,0,0,0
ALCOHOLIC BEV.DISTILLED.GIN.90 PROOF,0,0,0
ALCOHOLIC BEV.DISTILLED.RUM.80 PROOF,0,0,0
ALCOHOLIC BEV.DISTILLED.VODKA.80 PROOF,0,0,0
ALCOHOLIC BEV.DISTILLED.WHISKEY.86 PROOF,0.1,0,0
ALCOHOLIC BEV.LIQUEUR.COFFEE W/ CRM.34 PROOF,20.9,15.7,2.8
ALCOHOLIC BEV.LIQUEUR.COFFEE.53 PROOF,46.8,0.3,0.1
ALCOHOLIC BEV.LIQUEUR.COFFEE.63 PROOF,32.2,0.3,0.1
ALCOHOLIC BEV.MALT BEER.HARD LEMONADE,10.07,0,0
ALCOHOLIC BEV.PINA COLADA.CND,27.6,7.6,0.6
ALCOHOLIC BEV.PINA COLADA.PREPARED-FROM-RECIPE,22.66,1.88,0.42
ALCOHOLIC BEV.RICE (SAKE),5,0,0.5
ALCOHOLIC BEV.TEQUILA SUNRISE.CND,11.3,0.1,0.3
ALCOHOLIC BEV.WHISKEY SOUR,13.17,0.03,0
ALCOHOLIC BEV.WHISKEY SOUR.CND,13.4,0,0
ALCOHOLIC BEV.WHISKEY SOUR.PREP FROM ITEM 14028,12.82,0.06,0.06
ALCOHOLIC BEV.WHISKEY SOUR.PREP W/ H2O.WHISKEY & PDR MIX,15.85,0.02,0.1
ALCOHOLIC BEV.WINE.COOKING,6.3,0,0.5
ALCOHOLIC BEV.WINE.DSSRT.DRY,11.67,0,0.2
ALCOHOLIC BEV.WINE.DSSRT.SWT,13.69,0,0.2
ALCOHOLIC BEV.WINE.LT,1.17,0,0.07
ALCOHOLIC BEV.WINE.TABLE.ALL,2.72,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED,2.61,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.BARBERA,2.79,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.BURGUNDY,3.69,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.CABERNET FRANC,2.45,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.CABERNET SAUVIGNON,2.6,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.CARIGNANE,2.4,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.CLARET,3.01,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.GAMAY,2.38,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.LEMBERGER,2.46,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.MERLOT,2.51,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.MOUVEDRE,2.64,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.PETITE SIRAH,2.68,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.PINOT NOIR,2.31,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.SANGIOVESE,2.62,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.SYRAH,2.58,0,0.07
ALCOHOLIC BEV.WINE.TABLE.RED.ZINFANDEL,2.86,0,0.07
ALCOHOLIC BEV.WINE.TABLE.WHITE,2.6,0,0.07
